Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
bc1qm8yzdrln5zuevwttemef58jk7r9dswkm4acq2w,2,1,0.0027375,1,0.00219127,-0.00054623
bc1q06t3wdgswva9eh2dkntghq5fq4xna4q2vw64mr,2,2,0.00058522,0,0,-0.00058522
bc1quqzs2qmwws0hppwceph9m2llm0vy0knywl3ntk,2,1,0.00287854,1,0.00229288,-0.00058566
bc1q3u33el7sdqfe2x35cwj6jdjr2jg87wep0jrcc6,2,1,0.0032,1,0.0025788,-0.0006212
3J7cUjBZxvGRCwFBz3q23zAsnhFfZrDSSU,2,1,1.13052141,1,1.12984879,-0.00067262
bc1qwkn547dem040xl74sgv8srxkxfaufdre3am36p,2,1,0.00830752,1,0.00756929,-0.00073823
bc1qq42cy9a7h9dzuhse3jtff7lmcjay82cdpgs4pc,2,1,0.01473155,1,0.01397288,-0.00075867
3KtwFoNunmPXKAY5Gyi8r5S3TpfzJdRRx6,2,2,0.0008614,0,0,-0.0008614
1NLzyHLYTSdijudp3HUushPEKursSr66JN,2,1,0.03,1,0.02903214,-0.00096786
bc1q733dzfej836wwujryvzfzyaa0pan9tv2q2qkcf,2,1,0.00212519,1,0.0011232,-0.00100199
bc1q9s2kmdhn8xt0qjuks0faetq76ycq7zvq4jdfwf,2,1,1.73395384,1,1.73294014,-0.0010137
bc1q2rsh7nz7t3tlm9xu47ddluyn5yhvtde86e4yar,2,1,0.00354,1,0.00250308,-0.00103692
3G5uLb6zsm55biu3pr4dULtN4jF5ANxbUZ,2,2,0.00108378,0,0,-0.00108378
bc1qj8k5kdewrzwzr77a5c5rsagczh0m8ejn6uqcyy,2,1,0.00288264,1,0.00167668,-0.00120596
bc1qugc3za2nztycp74sgmyxj40f32nfhyqy96qw3u,2,1,0.00580182,1,0.00458709,-0.00121473
3MXWKnt6CRXRHcVm2fyLq4SdG2FQpDPUux,2,1,1.10222085,1,1.1009971,-0.00122375
bc1q75qfredtrsql9l2nnrjec9rzgashhv8ehhyvqe,2,2,0.0012354,0,0,-0.0012354
bc1qjxgaq5a2dmzux82jxexx4ffc72lhyead4n4vfy,2,1,0.03037312,1,0.02913568,-0.00123744
3D22YFbF1TzxCCFmFqi3EGRnEvrWtnYksi,2,2,0.00124208,0,0,-0.00124208
bc1q2u9ngtrhqtqdvcdt23avcpdfxmm269cxkvgnedwd3fkpjedaquuspc8sjf,2,1,0.97788462,1,0.97661874,-0.00126588
bc1qm2zx3c7z6xwjhufns0q4sxnv5pqqsl8yap7adf,2,1,0.00242778,1,0.00103261,-0.00139517
bc1qys65w9lgh93k89ju3km70ssqxgkunw0g5tc73f,2,2,0.00144328,0,0,-0.00144328
33FfabDNVF8TgQEgwYnhn6Ag4eY1Tui1Kq,2,2,0.00144816,0,0,-0.00144816
bc1qqt7qvfx8kp86pps3rau9mfaw998f0wdfd9gnyk,2,1,0.01098974,1,0.00943128,-0.00155846
19friBi6LyW4SVYGuB3ewCEkpFPF1oTsES,2,2,0.0016,0,0,-0.0016
3LPbx7BfJk9ufkAUUASKoCJr3rtryGNbjv,2,2,0.00171974,0,0,-0.00171974
bc1qt8g7dlcacgncjudppu5d4wduz4ushxxh7lurky,2,1,0.0019083,1,0.00011808,-0.00179022
bc1qgkxutew0t7frkj2w0wulew2f8q6qe68pm5dknq,2,1,0.00304561,1,0.00125466,-0.00179095
